CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Oregon,EIP,2020,2020,22,65-74 yr,61.8,1.2
Tennessee,EIP,2020,2020,22,65-74 yr,137.2,4.1
Utah,IHSP,2020,2020,22,65-74 yr,95.3,10
Utah,IHSP,2020,2020,23,65-74 yr,106.6,11.3
Tennessee,EIP,2020,2020,23,65-74 yr,152.3,15.2
California,EIP,2020,2020,23,65-74 yr,74.3,4.5
Colorado,EIP,2020,2020,23,65-74 yr,276.8,3.9
Entire Network,EIP,2020,2020,23,65-74 yr,209.3,9.1
Connecticut,EIP,2020,2020,23,65-74 yr,551.8,12.4
Entire Network,COVID-NET,2020,2020,23,65-74 yr,201.9,8.7
Oregon,EIP,2020,2020,23,65-74 yr,64.7,2.9
Ohio,IHSP,2020,2020,23,65-74 yr,129.9,6.3
New York,EIP,2020,2020,23,65-74 yr,144.2,4.8
New Mexico,EIP,2020,2020,23,65-74 yr,68.3,3.6
Minnesota,EIP,2020,2020,23,65-74 yr,166.3,8.2
Michigan,IHSP,2020,2020,23,65-74 yr,217.9,1.7
Maryland,EIP,2020,2020,23,65-74 yr,324.1,17.1
Entire Network,IHSP,2020,2020,23,65-74 yr,154.2,6.2
Iowa,IHSP,2020,2020,23,65-74 yr,186.8,15.6
Georgia,EIP,2020,2020,23,65-74 yr,233.2,9
Colorado,EIP,2020,2020,24,65-74 yr,279,2.2
Entire Network,COVID-NET,2020,2020,24,65-74 yr,208.7,6.8
Connecticut,EIP,2020,2020,24,65-74 yr,557.6,5.7
Entire Network,EIP,2020,2020,24,65-74 yr,216.4,7
Georgia,EIP,2020,2020,24,65-74 yr,243.2,9.9
Iowa,IHSP,2020,2020,24,65-74 yr,194.6,7.8
Entire Network,IHSP,2020,2020,24,65-74 yr,159.4,5.1
Maryland,EIP,2020,2020,24,65-74 yr,335.7,11.6
Michigan,IHSP,2020,2020,24,65-74 yr,218.7,0.8
Minnesota,EIP,2020,2020,24,65-74 yr,177.1,10.8
New Mexico,EIP,2020,2020,24,65-74 yr,71.2,2.9
New York,EIP,2020,2020,24,65-74 yr,147.7,3.5
Ohio,IHSP,2020,2020,24,65-74 yr,137.3,7.4
Oregon,EIP,2020,2020,24,65-74 yr,66.5,1.8
Tennessee,EIP,2020,2020,24,65-74 yr,160.6,8.3
Utah,IHSP,2020,2020,24,65-74 yr,112.8,6.3
California,EIP,2020,2020,24,65-74 yr,77.9,3.6
Utah,IHSP,2020,2020,25,65-74 yr,121.6,8.8
Tennessee,EIP,2020,2020,25,65-74 yr,174.4,13.8
Oregon,EIP,2020,2020,25,65-74 yr,73,6.5
Ohio,IHSP,2020,2020,25,65-74 yr,142.4,5.1
New York,EIP,2020,2020,25,65-74 yr,151.2,3.5
New Mexico,EIP,2020,2020,25,65-74 yr,74.8,3.6
Minnesota,EIP,2020,2020,25,65-74 yr,184.9,7.8
Michigan,IHSP,2020,2020,25,65-74 yr,221.2,2.5
Maryland,EIP,2020,2020,25,65-74 yr,345.5,9.8
California,EIP,2020,2020,25,65-74 yr,82.8,4.9
Colorado,EIP,2020,2020,25,65-74 yr,281.6,2.6
Entire Network,IHSP,2020,2020,25,65-74 yr,164.3,4.9
Iowa,IHSP,2020,2020,25,65-74 yr,194.6,0
Georgia,EIP,2020,2020,25,65-74 yr,254.4,11.2
Entire Network,EIP,2020,2020,25,65-74 yr,223.6,7.2
Connecticut,EIP,2020,2020,25,65-74 yr,560.4,2.9
Entire Network,COVID-NET,2020,2020,25,65-74 yr,215.6,6.9
California,EIP,2020,2020,26,65-74 yr,89.8,7
Colorado,EIP,2020,2020,26,65-74 yr,283.3,1.7
Entire Network,COVID-NET,2020,2020,26,65-74 yr,222.2,6.6
Connecticut,EIP,2020,2020,26,65-74 yr,562.3,1.9
Entire Network,EIP,2020,2020,26,65-74 yr,230.2,6.6
Georgia,EIP,2020,2020,26,65-74 yr,270.7,16.4
Iowa,IHSP,2020,2020,26,65-74 yr,194.6,0
Entire Network,IHSP,2020,2020,26,65-74 yr,171,6.7
Maryland,EIP,2020,2020,26,65-74 yr,351.9,6.4
Michigan,IHSP,2020,2020,26,65-74 yr,222.9,1.7
Minnesota,EIP,2020,2020,26,65-74 yr,189,4.1
New Mexico,EIP,2020,2020,26,65-74 yr,77.7,2.9
New York,EIP,2020,2020,26,65-74 yr,154.6,3.5
Ohio,IHSP,2020,2020,26,65-74 yr,149.8,7.4
Oregon,EIP,2020,2020,26,65-74 yr,75.3,2.4
Tennessee,EIP,2020,2020,26,65-74 yr,188.8,14.5
Utah,IHSP,2020,2020,26,65-74 yr,135.4,13.8
Utah,IHSP,2020,2020,27,65-74 yr,152.9,17.6
Tennessee,EIP,2020,2020,27,65-74 yr,204.7,15.9
Oregon,EIP,2020,2020,27,65-74 yr,78.3,2.9
Ohio,IHSP,2020,2020,27,65-74 yr,158.9,9.1
New York,EIP,2020,2020,27,65-74 yr,156.8,2.2
New Mexico,EIP,2020,2020,27,65-74 yr,82.8,5.1
California,EIP,2020,2020,27,65-74 yr,101.9,12.1
Entire Network,COVID-NET,2020,2020,27,65-74 yr,233.4,11.2
Colorado,EIP,2020,2020,27,65-74 yr,292,8.6
Entire Network,EIP,2020,2020,27,65-74 yr,241.8,11.7
Connecticut,EIP,2020,2020,27,65-74 yr,564.2,1.9
Minnesota,EIP,2020,2020,27,65-74 yr,196.8,7.8
Michigan,IHSP,2020,2020,27,65-74 yr,223.7,0.8
Maryland,EIP,2020,2020,27,65-74 yr,362,10.1
Entire Network,IHSP,2020,2020,27,65-74 yr,179.2,8.2
Iowa,IHSP,2020,2020,27,65-74 yr,202.4,7.8
Georgia,EIP,2020,2020,27,65-74 yr,306.3,35.6
California,EIP,2020,2020,28,65-74 yr,111.9,10
Colorado,EIP,2020,2020,28,65-74 yr,301.5,9.5
Entire Network,COVID-NET,2020,2020,28,65-74 yr,247.3,14
Connecticut,EIP,2020,2020,28,65-74 yr,569,4.8
Entire Network,EIP,2020,2020,28,65-74 yr,256.5,14.6
Georgia,EIP,2020,2020,28,65-74 yr,348.7,42.3
Iowa,IHSP,2020,2020,28,65-74 yr,202.4,0
Tennessee,EIP,2020,2020,28,65-74 yr,239.9,35.2
Utah,IHSP,2020,2020,28,65-74 yr,169.2,16.3
Entire Network,IHSP,2020,2020,28,65-74 yr,188.7,9.5
Maryland,EIP,2020,2020,28,65-74 yr,372.5,10.5
Michigan,IHSP,2020,2020,28,65-74 yr,225.4,1.7
Minnesota,EIP,2020,2020,28,65-74 yr,207.3,10.4
New Mexico,EIP,2020,2020,28,65-74 yr,92.2,9.4
New York,EIP,2020,2020,28,65-74 yr,162.4,5.6
Ohio,IHSP,2020,2020,28,65-74 yr,171.5,12.5
Oregon,EIP,2020,2020,28,65-74 yr,83.6,5.3
Utah,IHSP,2020,2020,29,65-74 yr,190.6,21.3
Tennessee,EIP,2020,2020,29,65-74 yr,272.9,33.1
Oregon,EIP,2020,2020,29,65-74 yr,85.3,1.8
California,EIP,2020,2020,29,65-74 yr,123.4,11.5
Colorado,EIP,2020,2020,29,65-74 yr,307.1,5.6
Entire Network,COVID-NET,2020,2020,29,65-74 yr,259.1,11.8
Ohio,IHSP,2020,2020,29,65-74 yr,179.4,8
New York,EIP,2020,2020,29,65-74 yr,167.6,5.2
New Mexico,EIP,2020,2020,29,65-74 yr,99.5,7.3
Minnesota,EIP,2020,2020,29,65-74 yr,208.7,1.5
Michigan,IHSP,2020,2020,29,65-74 yr,231.2,5.8
Maryland,EIP,2020,2020,29,65-74 yr,382.1,9.6
Entire Network,IHSP,2020,2020,29,65-74 yr,198.5,9.8
Iowa,IHSP,2020,2020,29,65-74 yr,202.4,0
Georgia,EIP,2020,2020,29,65-74 yr,385.9,37.2
Entire Network,EIP,2020,2020,29,65-74 yr,268.6,12.1
Connecticut,EIP,2020,2020,29,65-74 yr,571.9,2.9
California,EIP,2020,2020,30,65-74 yr,133.1,9.7
Colorado,EIP,2020,2020,30,65-74 yr,311,3.9
Entire Network,COVID-NET,2020,2020,30,65-74 yr,266.4,7.3
Connecticut,EIP,2020,2020,30,65-74 yr,573.8,1.9
Entire Network,EIP,2020,2020,30,65-74 yr,276.3,7.7
Georgia,EIP,2020,2020,30,65-74 yr,396.5,10.6
Iowa,IHSP,2020,2020,30,65-74 yr,202.4,0
Entire Network,IHSP,2020,2020,30,65-74 yr,202.6,4.1
Maryland,EIP,2020,2020,30,65-74 yr,394.1,11.9
Michigan,IHSP,2020,2020,30,65-74 yr,235.3,4.2
Minnesota,EIP,2020,2020,30,65-74 yr,208.7,0
New Mexico,EIP,2020,2020,30,65-74 yr,104.6,5.1
New York,EIP,2020,2020,30,65-74 yr,168.9,1.3
Ohio,IHSP,2020,2020,30,65-74 yr,181.1,1.7
Oregon,EIP,2020,2020,30,65-74 yr,91.2,5.9
Tennessee,EIP,2020,2020,30,65-74 yr,293.6,20.7
Utah,IHSP,2020,2020,30,65-74 yr,200.6,10
Utah,IHSP,2020,2020,31,65-74 yr,null,null
Tennessee,EIP,2020,2020,31,65-74 yr,null,null
Oregon,EIP,2020,2020,31,65-74 yr,null,null
Ohio,IHSP,2020,2020,31,65-74 yr,null,null
New York,EIP,2020,2020,31,65-74 yr,null,null
New Mexico,EIP,2020,2020,31,65-74 yr,null,null
Minnesota,EIP,2020,2020,31,65-74 yr,null,null
Michigan,IHSP,2020,2020,31,65-74 yr,null,null
Maryland,EIP,2020,2020,31,65-74 yr,null,null
Entire Network,IHSP,2020,2020,31,65-74 yr,null,null
Iowa,IHSP,2020,2020,31,65-74 yr,null,null
California,EIP,2020,2020,31,65-74 yr,null,null
Georgia,EIP,2020,2020,31,65-74 yr,null,null
Entire Network,EIP,2020,2020,31,65-74 yr,null,null
Connecticut,EIP,2020,2020,31,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,31,65-74 yr,null,null
Colorado,EIP,2020,2020,31,65-74 yr,null,null
California,EIP,2020,2020,32,65-74 yr,null,null
Colorado,EIP,2020,2020,32,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,32,65-74 yr,null,null
Connecticut,EIP,2020,2020,32,65-74 yr,null,null
Entire Network,EIP,2020,2020,32,65-74 yr,null,null
Georgia,EIP,2020,2020,32,65-74 yr,null,null
Iowa,IHSP,2020,2020,32,65-74 yr,null,null
Entire Network,IHSP,2020,2020,32,65-74 yr,null,null
Maryland,EIP,2020,2020,32,65-74 yr,null,null
Michigan,IHSP,2020,2020,32,65-74 yr,null,null
Minnesota,EIP,2020,2020,32,65-74 yr,null,null
New Mexico,EIP,2020,2020,32,65-74 yr,null,null
New York,EIP,2020,2020,32,65-74 yr,null,null
Ohio,IHSP,2020,2020,32,65-74 yr,null,null
Utah,IHSP,2020,2020,32,65-74 yr,null,null
Oregon,EIP,2020,2020,32,65-74 yr,null,null
Tennessee,EIP,2020,2020,32,65-74 yr,null,null
Utah,IHSP,2020,2020,33,65-74 yr,null,null
Tennessee,EIP,2020,2020,33,65-74 yr,null,null
Oregon,EIP,2020,2020,33,65-74 yr,null,null
Ohio,IHSP,2020,2020,33,65-74 yr,null,null
New York,EIP,2020,2020,33,65-74 yr,null,null
New Mexico,EIP,2020,2020,33,65-74 yr,null,null
Minnesota,EIP,2020,2020,33,65-74 yr,null,null
Michigan,IHSP,2020,2020,33,65-74 yr,null,null
California,EIP,2020,2020,33,65-74 yr,null,null
Connecticut,EIP,2020,2020,33,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,33,65-74 yr,null,null
Colorado,EIP,2020,2020,33,65-74 yr,null,null
Maryland,EIP,2020,2020,33,65-74 yr,null,null
Entire Network,IHSP,2020,2020,33,65-74 yr,null,null
Iowa,IHSP,2020,2020,33,65-74 yr,null,null
Georgia,EIP,2020,2020,33,65-74 yr,null,null
Entire Network,EIP,2020,2020,33,65-74 yr,null,null
California,EIP,2020,2020,34,65-74 yr,null,null
Colorado,EIP,2020,2020,34,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,34,65-74 yr,null,null
Connecticut,EIP,2020,2020,34,65-74 yr,null,null
Entire Network,EIP,2020,2020,34,65-74 yr,null,null
Georgia,EIP,2020,2020,34,65-74 yr,null,null
Iowa,IHSP,2020,2020,34,65-74 yr,null,null
Entire Network,IHSP,2020,2020,34,65-74 yr,null,null
Maryland,EIP,2020,2020,34,65-74 yr,null,null
Michigan,IHSP,2020,2020,34,65-74 yr,null,null
Minnesota,EIP,2020,2020,34,65-74 yr,null,null
New Mexico,EIP,2020,2020,34,65-74 yr,null,null
New York,EIP,2020,2020,34,65-74 yr,null,null
Ohio,IHSP,2020,2020,34,65-74 yr,null,null
Oregon,EIP,2020,2020,34,65-74 yr,null,null
Tennessee,EIP,2020,2020,34,65-74 yr,null,null
Utah,IHSP,2020,2020,34,65-74 yr,null,null
Utah,IHSP,2020,2020,35,65-74 yr,null,null
Tennessee,EIP,2020,2020,35,65-74 yr,null,null
Oregon,EIP,2020,2020,35,65-74 yr,null,null
Ohio,IHSP,2020,2020,35,65-74 yr,null,null
New York,EIP,2020,2020,35,65-74 yr,null,null
California,EIP,2020,2020,35,65-74 yr,null,null
New Mexico,EIP,2020,2020,35,65-74 yr,null,null
Minnesota,EIP,2020,2020,35,65-74 yr,null,null
Michigan,IHSP,2020,2020,35,65-74 yr,null,null
Maryland,EIP,2020,2020,35,65-74 yr,null,null
Entire Network,IHSP,2020,2020,35,65-74 yr,null,null
Iowa,IHSP,2020,2020,35,65-74 yr,null,null
Georgia,EIP,2020,2020,35,65-74 yr,null,null
Entire Network,EIP,2020,2020,35,65-74 yr,null,null
Connecticut,EIP,2020,2020,35,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,35,65-74 yr,null,null
Colorado,EIP,2020,2020,35,65-74 yr,null,null
California,EIP,2020,2020,36,65-74 yr,null,null
Colorado,EIP,2020,2020,36,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,36,65-74 yr,null,null
Connecticut,EIP,2020,2020,36,65-74 yr,null,null
Entire Network,EIP,2020,2020,36,65-74 yr,null,null
Ohio,IHSP,2020,2020,36,65-74 yr,null,null
Oregon,EIP,2020,2020,36,65-74 yr,null,null
Tennessee,EIP,2020,2020,36,65-74 yr,null,null
Utah,IHSP,2020,2020,36,65-74 yr,null,null
Georgia,EIP,2020,2020,36,65-74 yr,null,null
Iowa,IHSP,2020,2020,36,65-74 yr,null,null
Entire Network,IHSP,2020,2020,36,65-74 yr,null,null
Maryland,EIP,2020,2020,36,65-74 yr,null,null
Michigan,IHSP,2020,2020,36,65-74 yr,null,null
Minnesota,EIP,2020,2020,36,65-74 yr,null,null
New Mexico,EIP,2020,2020,36,65-74 yr,null,null
New York,EIP,2020,2020,36,65-74 yr,null,null
Utah,IHSP,2020,2020,37,65-74 yr,null,null
Tennessee,EIP,2020,2020,37,65-74 yr,null,null
Oregon,EIP,2020,2020,37,65-74 yr,null,null
Ohio,IHSP,2020,2020,37,65-74 yr,null,null
New York,EIP,2020,2020,37,65-74 yr,null,null
New Mexico,EIP,2020,2020,37,65-74 yr,null,null
Minnesota,EIP,2020,2020,37,65-74 yr,null,null
Michigan,IHSP,2020,2020,37,65-74 yr,null,null
Maryland,EIP,2020,2020,37,65-74 yr,null,null
Entire Network,IHSP,2020,2020,37,65-74 yr,null,null
Iowa,IHSP,2020,2020,37,65-74 yr,null,null
Georgia,EIP,2020,2020,37,65-74 yr,null,null
Entire Network,EIP,2020,2020,37,65-74 yr,null,null
California,EIP,2020,2020,37,65-74 yr,null,null
Colorado,EIP,2020,2020,37,65-74 yr,null,null
Connecticut,EIP,2020,2020,37,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,37,65-74 yr,null,null
California,EIP,2020,2020,38,65-74 yr,null,null
Colorado,EIP,2020,2020,38,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,38,65-74 yr,null,null
Connecticut,EIP,2020,2020,38,65-74 yr,null,null
Entire Network,EIP,2020,2020,38,65-74 yr,null,null
Georgia,EIP,2020,2020,38,65-74 yr,null,null
Iowa,IHSP,2020,2020,38,65-74 yr,null,null
Entire Network,IHSP,2020,2020,38,65-74 yr,null,null
Maryland,EIP,2020,2020,38,65-74 yr,null,null
Michigan,IHSP,2020,2020,38,65-74 yr,null,null
Minnesota,EIP,2020,2020,38,65-74 yr,null,null
New Mexico,EIP,2020,2020,38,65-74 yr,null,null
New York,EIP,2020,2020,38,65-74 yr,null,null
Ohio,IHSP,2020,2020,38,65-74 yr,null,null
Oregon,EIP,2020,2020,38,65-74 yr,null,null
Tennessee,EIP,2020,2020,38,65-74 yr,null,null
Utah,IHSP,2020,2020,38,65-74 yr,null,null
Utah,IHSP,2020,2020,39,65-74 yr,null,null
Tennessee,EIP,2020,2020,39,65-74 yr,null,null
Oregon,EIP,2020,2020,39,65-74 yr,null,null
Ohio,IHSP,2020,2020,39,65-74 yr,null,null
New York,EIP,2020,2020,39,65-74 yr,null,null
New Mexico,EIP,2020,2020,39,65-74 yr,null,null
Minnesota,EIP,2020,2020,39,65-74 yr,null,null
Michigan,IHSP,2020,2020,39,65-74 yr,null,null
Maryland,EIP,2020,2020,39,65-74 yr,null,null
Entire Network,IHSP,2020,2020,39,65-74 yr,null,null
California,EIP,2020,2020,39,65-74 yr,null,null
Colorado,EIP,2020,2020,39,65-74 yr,null,null
Iowa,IHSP,2020,2020,39,65-74 yr,null,null
Georgia,EIP,2020,2020,39,65-74 yr,null,null
Entire Network,EIP,2020,2020,39,65-74 yr,null,null
Connecticut,EIP,2020,2020,39,65-74 yr,null,null
Entire Network,COVID-NET,2020,2020,39,65-74 yr,null,null
Utah,IHSP,2020,2020,10,75-84 yr,0,0
Tennessee,EIP,2020,2020,10,75-84 yr,0,0
Oregon,EIP,2020,2020,10,75-84 yr,0,0
Ohio,IHSP,2020,2020,10,75-84 yr,0,0
New York,EIP,2020,2020,10,75-84 yr,0.9,0.9
New Mexico,EIP,2020,2020,10,75-84 yr,0,0
Minnesota,EIP,2020,2020,10,75-84 yr,0,0
Michigan,IHSP,2020,2020,10,75-84 yr,0,0
Maryland,EIP,2020,2020,10,75-84 yr,0,0
Entire Network,IHSP,2020,2020,10,75-84 yr,0,0
Iowa,IHSP,2020,2020,10,75-84 yr,0,0
Georgia,EIP,2020,2020,10,75-84 yr,3,3
Entire Network,EIP,2020,2020,10,75-84 yr,0.5,0.5
Connecticut,EIP,2020,2020,10,75-84 yr,0,0
Entire Network,COVID-NET,2020,2020,10,75-84 yr,0.4,0.4
Colorado,EIP,2020,2020,10,75-84 yr,0,0
California,EIP,2020,2020,10,75-84 yr,0.6,0.6
Utah,IHSP,2020,2020,11,75-84 yr,0,0
Ohio,IHSP,2020,2020,11,75-84 yr,0,0
Tennessee,EIP,2020,2020,11,75-84 yr,1.5,1.5
Oregon,EIP,2020,2020,11,75-84 yr,0,0
Maryland,EIP,2020,2020,11,75-84 yr,1.1,1.1
Michigan,IHSP,2020,2020,11,75-84 yr,0,0
New Mexico,EIP,2020,2020,11,75-84 yr,1.5,1.5
Minnesota,EIP,2020,2020,11,75-84 yr,0,0
New York,EIP,2020,2020,11,75-84 yr,3.5,2.6
Connecticut,EIP,2020,2020,11,75-84 yr,1.8,1.8
Entire Network,COVID-NET,2020,2020,11,75-84 yr,2.3,1.9
Entire Network,EIP,2020,2020,11,75-84 yr,2.7,2.2
Georgia,EIP,2020,2020,11,75-84 yr,11.2,8.2
Entire Network,IHSP,2020,2020,11,75-84 yr,0,0
Iowa,IHSP,2020,2020,11,75-84 yr,0,0
Colorado,EIP,2020,2020,11,75-84 yr,2,2
California,EIP,2020,2020,11,75-84 yr,3.1,2.5
Utah,IHSP,2020,2020,12,75-84 yr,8.2,8.2
Tennessee,EIP,2020,2020,12,75-84 yr,9.1,7.6
Oregon,EIP,2020,2020,12,75-84 yr,5.4,5.4
Ohio,IHSP,2020,2020,12,75-84 yr,4.8,4.8
New York,EIP,2020,2020,12,75-84 yr,15.5,12.1
New Mexico,EIP,2020,2020,12,75-84 yr,1.5,0
Minnesota,EIP,2020,2020,12,75-84 yr,1.6,1.6
Michigan,IHSP,2020,2020,12,75-84 yr,15.5,15.5
Maryland,EIP,2020,2020,12,75-84 yr,4.7,3.6
Entire Network,IHSP,2020,2020,12,75-84 yr,9.3,9.3
Iowa,IHSP,2020,2020,12,75-84 yr,15.6,15.6
Georgia,EIP,2020,2020,12,75-84 yr,39.6,28.4
Entire Network,EIP,2020,2020,12,75-84 yr,12.8,10.1
Connecticut,EIP,2020,2020,12,75-84 yr,16.5,14.7
Entire Network,COVID-NET,2020,2020,12,75-84 yr,12.3,10
Colorado,EIP,2020,2020,12,75-84 yr,21.8,19.8
California,EIP,2020,2020,12,75-84 yr,14.2,11.2
Utah,IHSP,2020,2020,13,75-84 yr,13.7,5.5
New Mexico,EIP,2020,2020,13,75-84 yr,3,1.5
New York,EIP,2020,2020,13,75-84 yr,39.7,24.2
Oregon,EIP,2020,2020,13,75-84 yr,19,13.6
Ohio,IHSP,2020,2020,13,75-84 yr,19.4,14.5
Tennessee,EIP,2020,2020,13,75-84 yr,49.9,40.8
Iowa,IHSP,2020,2020,13,75-84 yr,15.6,0
Georgia,EIP,2020,2020,13,75-84 yr,92,52.4
Entire Network,IHSP,2020,2020,13,75-84 yr,34.3,25.1
Maryland,EIP,2020,2020,13,75-84 yr,28,23.3
Minnesota,EIP,2020,2020,13,75-84 yr,11.1,9.5
Michigan,IHSP,2020,2020,13,75-84 yr,70.5,55
Connecticut,EIP,2020,2020,13,75-84 yr,73.4,56.9
Entire Network,EIP,2020,2020,13,75-84 yr,39.5,26.6
Entire Network,COVID-NET,2020,2020,13,75-84 yr,38.8,26.4
Colorado,EIP,2020,2020,13,75-84 yr,77.1,55.4
California,EIP,2020,2020,13,75-84 yr,22.9,8.7
Georgia,EIP,2020,2020,14,75-84 yr,139.9,47.9
Entire Network,EIP,2020,2020,14,75-84 yr,76,36.5
Connecticut,EIP,2020,2020,14,75-84 yr,196.4,123
Entire Network,COVID-NET,2020,2020,14,75-84 yr,75,36.3
Colorado,EIP,2020,2020,14,75-84 yr,147.4,70.2
California,EIP,2020,2020,14,75-84 yr,39,16.1
Utah,IHSP,2020,2020,14,75-84 yr,35.7,21.9
Tennessee,EIP,2020,2020,14,75-84 yr,92.1,42.3
Oregon,EIP,2020,2020,14,75-84 yr,32.6,13.6
Ohio,IHSP,2020,2020,14,75-84 yr,37.6,18.2
New York,EIP,2020,2020,14,75-84 yr,66.4,26.7
New Mexico,EIP,2020,2020,14,75-84 yr,8.9,5.9
Minnesota,EIP,2020,2020,14,75-84 yr,19.1,7.9
Michigan,IHSP,2020,2020,14,75-84 yr,141,70.5
Maryland,EIP,2020,2020,14,75-84 yr,70.8,42.7
Entire Network,IHSP,2020,2020,14,75-84 yr,69.2,34.9
Iowa,IHSP,2020,2020,14,75-84 yr,15.6,0
Utah,IHSP,2020,2020,15,75-84 yr,38.4,2.7
Oregon,EIP,2020,2020,15,75-84 yr,48.9,16.3
Tennessee,EIP,2020,2020,15,75-84 yr,102.7,10.6
Connecticut,EIP,2020,2020,15,75-84 yr,337.8,141.4
Georgia,EIP,2020,2020,15,75-84 yr,184.7,44.9
Entire Network,EIP,2020,2020,15,75-84 yr,113,37.1
Iowa,IHSP,2020,2020,15,75-84 yr,31.3,15.6
Entire Network,IHSP,2020,2020,15,75-84 yr,96.4,27.2
Michigan,IHSP,2020,2020,15,75-84 yr,201.2,60.2
Maryland,EIP,2020,2020,15,75-84 yr,117.1,46.3
Minnesota,EIP,2020,2020,15,75-84 yr,42.1,23.1
New Mexico,EIP,2020,2020,15,75-84 yr,17.8,8.9
Ohio,IHSP,2020,2020,15,75-84 yr,53.3,15.7
New York,EIP,2020,2020,15,75-84 yr,89.7,23.3
Colorado,EIP,2020,2020,15,75-84 yr,214.6,67.2
California,EIP,2020,2020,15,75-84 yr,52.7,13.6
Entire Network,COVID-NET,2020,2020,15,75-84 yr,110.8,35.8
Michigan,IHSP,2020,2020,16,75-84 yr,268.3,67.1
Maryland,EIP,2020,2020,16,75-84 yr,181,63.9
Entire Network,IHSP,2020,2020,16,75-84 yr,128.6,32.1
Iowa,IHSP,2020,2020,16,75-84 yr,78.2,46.9
Georgia,EIP,2020,2020,16,75-84 yr,231.1,46.4
Entire Network,EIP,2020,2020,16,75-84 yr,152.7,39.6
Connecticut,EIP,2020,2020,16,75-84 yr,464.5,126.7
Entire Network,COVID-NET,2020,2020,16,75-84 yr,149.4,38.6
Ohio,IHSP,2020,2020,16,75-84 yr,69,15.7
New York,EIP,2020,2020,16,75-84 yr,110.4,20.7
New Mexico,EIP,2020,2020,16,75-84 yr,35.5,17.8
Minnesota,EIP,2020,2020,16,75-84 yr,67.6,25.4
Tennessee,EIP,2020,2020,16,75-84 yr,114.8,12.1
Oregon,EIP,2020,2020,16,75-84 yr,55.6,6.8
Utah,IHSP,2020,2020,16,75-84 yr,49.4,11
Colorado,EIP,2020,2020,16,75-84 yr,279.9,65.3
California,EIP,2020,2020,16,75-84 yr,59.5,6.8
Iowa,IHSP,2020,2020,17,75-84 yr,109.5,31.3
Maryland,EIP,2020,2020,17,75-84 yr,247.5,66.4
Entire Network,IHSP,2020,2020,17,75-84 yr,149.3,20.7
Michigan,IHSP,2020,2020,17,75-84 yr,301,32.7
Minnesota,EIP,2020,2020,17,75-84 yr,94.6,27
New York,EIP,2020,2020,17,75-84 yr,137.2,26.7
New Mexico,EIP,2020,2020,17,75-84 yr,41.4,5.9
Ohio,IHSP,2020,2020,17,75-84 yr,87.2,18.2
Oregon,EIP,2020,2020,17,75-84 yr,63.8,8.1
Utah,IHSP,2020,2020,17,75-84 yr,54.9,5.5
Tennessee,EIP,2020,2020,17,75-84 yr,143.5,28.7
Colorado,EIP,2020,2020,17,75-84 yr,335.2,55.4
Entire Network,COVID-NET,2020,2020,17,75-84 yr,186.9,37.4
Entire Network,EIP,2020,2020,17,75-84 yr,192.7,40.1
Connecticut,EIP,2020,2020,17,75-84 yr,580.1,115.7
Georgia,EIP,2020,2020,17,75-84 yr,277.5,46.4
California,EIP,2020,2020,17,75-84 yr,66.9,7.4
Utah,IHSP,2020,2020,18,75-84 yr,63.1,8.2
Tennessee,EIP,2020,2020,18,75-84 yr,155.6,12.1
Oregon,EIP,2020,2020,18,75-84 yr,69.2,5.4
Ohio,IHSP,2020,2020,18,75-84 yr,111.4,24.2
New York,EIP,2020,2020,18,75-84 yr,159.6,22.4
New Mexico,EIP,2020,2020,18,75-84 yr,62.2,20.7
Minnesota,EIP,2020,2020,18,75-84 yr,129.6,35
Michigan,IHSP,2020,2020,18,75-84 yr,314.7,13.8
Maryland,EIP,2020,2020,18,75-84 yr,303.1,55.7
Entire Network,IHSP,2020,2020,18,75-84 yr,167.3,18
Iowa,IHSP,2020,2020,18,75-84 yr,140.8,31.3
Georgia,EIP,2020,2020,18,75-84 yr,308.9,31.4
Entire Network,EIP,2020,2020,18,75-84 yr,226.9,34.1
Connecticut,EIP,2020,2020,18,75-84 yr,670.1,90
Entire Network,COVID-NET,2020,2020,18,75-84 yr,218.8,31.9
Colorado,EIP,2020,2020,18,75-84 yr,385.7,50.4
California,EIP,2020,2020,18,75-84 yr,72.5,5.6
Tennessee,EIP,2020,2020,19,75-84 yr,176.7,21.1
Oregon,EIP,2020,2020,19,75-84 yr,77.4,8.1
Utah,IHSP,2020,2020,19,75-84 yr,65.8,2.7
Michigan,IHSP,2020,2020,19,75-84 yr,325,10.3
New Mexico,EIP,2020,2020,19,75-84 yr,71,8.9
Minnesota,EIP,2020,2020,19,75-84 yr,166.9,37.4
New York,EIP,2020,2020,19,75-84 yr,186.3,26.7
